ticket_id,created_at,department,title,description,resolution_notes,priority,status,pii_masked,ground_truth_category
SYN-0014,2026-03-09,HR,RDP session disconnects after login,RDP session disconnects after login on macOS. No recent hardware changes were made.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0015,2026-04-13,HR,Setup wizard reports missing dependency,Setup wizard reports missing dependency on Windows 11. The issue happens repeatedly.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0016,2026-08-09,HR,VPN disconnects every few minutes,VPN disconnects every few minutes on Windows 11. No recent hardware changes were made.,Updated the VPN client and re-created the connection profile.,Medium,Resolved,true,VPN
SYN-0017,2026-04-08,Sales,Company VPN connects then immediately disconnects,Company VPN connects then immediately disconnects on macOS. The issue happens repeatedly.,,Low,Open,true,VPN
SYN-0018,2026-07-12,Academic,VPN tunnel is unstable from home network,VPN tunnel is unstable from home network on macOS. This started this morning.,Updated the VPN client and re-created the connection profile.,Medium,Resolved,true,VPN
SYN-0019,2026-04-27,Academic,Software setup cannot continue because admin rights are required,Software setup cannot continue because admin rights are required on macOS. The issue happens repeatedly.,Used the approved installer with administrator permission.,Low,Resolved,true,Software Installation
SYN-0020,2026-08-04,HR,VPN authentication fails after Windows update,VPN authentication fails after Windows update on macOS. I already restarted the device once.,Updated the VPN client and re-created the connection profile.,High,Resolved,true,VPN
SYN-0021,2026-03-24,Finance,Wi-Fi connected but browser says no internet,Wi-Fi connected but browser says no internet on Windows 10. It happens on my work laptop.,,Medium,Open,true,Wi-Fi / DNS
SYN-0022,2026-03-03,Finance,User account is locked after failed login attempts,User account is locked after failed login attempts on Ubuntu. This started this morning.,Unlocked the account and forced a secure password reset.,High,Resolved,true,Accounts / Passwords
SYN-0023,2026-06-18,Sales,MFA approval never arrives on phone,MFA approval never arrives on phone on Windows 11. It happens on my work laptop.,,High,Open,true,Outlook / MFA
SYN-0024,2026-08-26,Academic,Software setup cannot continue because admin rights are required,Software setup cannot continue because admin rights are required on macOS. Please help because I need this for work.,Used the approved installer with administrator permission.,High,Resolved,true,Software Installation
SYN-0025,2026-08-19,Finance,Windows driver error after restart,Windows driver error after restart on Windows 11. I already restarted the device once.,,Low,Open,true,Windows / Updates
SYN-0026,2026-05-31,Sales,Windows update failed and rolled back,Windows update failed and rolled back on Windows 11. This started this morning.,Installed pending driver updates and repaired Windows update components.,Low,Resolved,true,Windows / Updates
SYN-0027,2026-01-18,IT,Wireless icon shows connected but websites do not load,Wireless icon shows connected but websites do not load on Windows 10. The issue happens repeatedly.,Restarted the network adapter and flushed the DNS cache.,Low,Resolved,true,Wi-Fi / DNS
SYN-0028,2026-02-24,Academic,Print queue is stuck and cannot be cleared,Print queue is stuck and cannot be cleared on Ubuntu. I already restarted the device once.,Cleared the print queue and reinstalled the approved printer driver.,Medium,Resolved,true,Printers
SYN-0029,2026-01-25,Academic,Software setup cannot continue because admin rights are required,Software setup cannot continue because admin rights are required on Ubuntu. It happens on my work laptop.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0030,2026-08-10,Academic,Approved software cannot be installed on laptop,Approved software cannot be installed on laptop on Windows 10. This started this morning.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0031,2026-03-05,HR,Windows update failed and rolled back,Windows update failed and rolled back on Ubuntu. I already restarted the device once.,Installed pending driver updates and repaired Windows update components.,Medium,Resolved,true,Windows / Updates
SYN-0032,2026-04-29,Finance,Outlook cannot send email after password change,Outlook cannot send email after password change on Ubuntu. The issue happens repeatedly.,Re-registered MFA and cleared cached Outlook credentials.,Low,Resolved,true,Outlook / MFA
SYN-0033,2026-08-03,Finance,Wi-Fi connected but browser says no internet,Wi-Fi connected but browser says no internet on Windows 11. I already restarted the device once.,Restarted the network adapter and flushed the DNS cache.,Medium,Resolved,true,Wi-Fi / DNS
SYN-0034,2026-02-24,Finance,Remote Desktop shows credential error,Remote Desktop shows credential error on Windows 11. Please help because I need this for work.,,Low,Open,true,Remote Desktop
SYN-0035,2026-08-26,IT,Installer stops before completion,Installer stops before completion on Ubuntu. No recent hardware changes were made.,,High,Open,true,Software Installation
SYN-0036,2026-02-18,HR,RDP session disconnects after login,RDP session disconnects after login on Windows 10. The issue happens repeatedly.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0037,2026-01-15,Sales,Internet unavailable although Wi-Fi is connected,Internet unavailable although Wi-Fi is connected on Ubuntu. The issue happens repeatedly.,Restarted the network adapter and flushed the DNS cache.,High,Resolved,true,Wi-Fi / DNS
SYN-0038,2026-05-11,HR,Outlook keeps asking for password,Outlook keeps asking for password on Windows 10. The issue happens repeatedly.,Re-registered MFA and cleared cached Outlook credentials.,Low,Resolved,true,Outlook / MFA
SYN-0039,2026-01-31,Sales,Account says credentials are invalid,Account says credentials are invalid on Windows 10. The issue happens repeatedly.,Unlocked the account and forced a secure password reset.,Low,Resolved,true,Accounts / Passwords
SYN-0040,2026-05-25,IT,Setup wizard reports missing dependency,Setup wizard reports missing dependency on Windows 11. No recent hardware changes were made.,Used the approved installer with administrator permission.,High,Resolved,true,Software Installation
SYN-0041,2026-03-09,Operations,Laptop suddenly shows blue screen error 0x00000124,Laptop suddenly shows blue screen error 0x00000124 on Windows 11. No recent hardware changes were made.,,High,Open,true,Windows / Updates
SYN-0042,2026-03-22,Finance,Print queue is stuck and cannot be cleared,Print queue is stuck and cannot be cleared on Ubuntu. The issue happens repeatedly.,Cleared the print queue and reinstalled the approved printer driver.,High,Resolved,true,Printers
SYN-0043,2026-05-18,Sales,VPN disconnects every few minutes,VPN disconnects every few minutes on macOS. I already restarted the device once.,Updated the VPN client and re-created the connection profile.,Medium,Resolved,true,VPN
SYN-0044,2026-04-05,HR,Remote access VPN drops after login,Remote access VPN drops after login on Ubuntu. The issue happens repeatedly.,Updated the VPN client and re-created the connection profile.,High,Resolved,true,VPN
SYN-0045,2026-07-26,Academic,Printer shows offline although it is powered on,Printer shows offline although it is powered on on macOS. No recent hardware changes were made.,Cleared the print queue and reinstalled the approved printer driver.,Low,Resolved,true,Printers
SYN-0046,2026-01-30,Academic,Outlook cannot send email after password change,Outlook cannot send email after password change on Windows 11. It happens on my work laptop.,Re-registered MFA and cleared cached Outlook credentials.,Medium,Resolved,true,Outlook / MFA
SYN-0047,2026-02-22,Sales,Password expired and user cannot log in,Password expired and user cannot log in on Ubuntu. It happens on my work laptop.,Unlocked the account and forced a secure password reset.,Low,Resolved,true,Accounts / Passwords
SYN-0048,2026-08-01,Finance,Company VPN connects then immediately disconnects,Company VPN connects then immediately disconnects on Windows 10. It happens on my work laptop.,Updated the VPN client and re-created the connection profile.,Low,Resolved,true,VPN
SYN-0049,2026-07-09,Sales,Office printer prints blank pages,Office printer prints blank pages on Ubuntu. The issue happens repeatedly.,,Low,Open,true,Printers
SYN-0050,2026-08-15,Sales,VPN disconnects every few minutes,VPN disconnects every few minutes on Windows 10. It happens on my work laptop.,Updated the VPN client and re-created the connection profile.,High,Resolved,true,VPN
SYN-0051,2026-02-02,IT,Authenticator code is rejected,Authenticator code is rejected on macOS. This started this morning.,Re-registered MFA and cleared cached Outlook credentials.,Medium,Resolved,true,Outlook / MFA
SYN-0052,2026-06-20,IT,Cannot sign in after password reset,Cannot sign in after password reset on Ubuntu. The issue happens repeatedly.,Unlocked the account and forced a secure password reset.,High,Resolved,true,Accounts / Passwords
SYN-0053,2026-08-10,HR,MFA approval never arrives on phone,MFA approval never arrives on phone on Ubuntu. This started this morning.,Re-registered MFA and cleared cached Outlook credentials.,Low,Resolved,true,Outlook / MFA
SYN-0054,2026-07-25,IT,Windows driver error after restart,Windows driver error after restart on Windows 11. No recent hardware changes were made.,Installed pending driver updates and repaired Windows update components.,Low,Resolved,true,Windows / Updates
SYN-0055,2026-08-08,HR,Application installation fails with permission error,Application installation fails with permission error on Windows 11. Please help because I need this for work.,,Medium,Open,true,Software Installation
SYN-0056,2026-02-27,Academic,Office printer prints blank pages,Office printer prints blank pages on Windows 11. Please help because I need this for work.,Cleared the print queue and reinstalled the approved printer driver.,Medium,Resolved,true,Printers
SYN-0057,2026-07-17,IT,Printer is online but jobs stay in queue,Printer is online but jobs stay in queue on Ubuntu. No recent hardware changes were made.,Cleared the print queue and reinstalled the approved printer driver.,High,Resolved,true,Printers
SYN-0058,2026-01-30,HR,Windows update failed and rolled back,Windows update failed and rolled back on macOS. This started this morning.,Installed pending driver updates and repaired Windows update components.,Low,Resolved,true,Windows / Updates
SYN-0059,2026-07-06,Operations,Installer stops before completion,Installer stops before completion on Windows 10. Please help because I need this for work.,Used the approved installer with administrator permission.,High,Resolved,true,Software Installation
SYN-0060,2026-01-12,Finance,Password expired and user cannot log in,Password expired and user cannot log in on Windows 11. It happens on my work laptop.,,Medium,Open,true,Accounts / Passwords
SYN-0061,2026-06-09,Academic,VPN authentication fails after Windows update,VPN authentication fails after Windows update on Windows 10. No recent hardware changes were made.,Updated the VPN client and re-created the connection profile.,Medium,Resolved,true,VPN
SYN-0062,2026-03-25,Academic,Print queue is stuck and cannot be cleared,Print queue is stuck and cannot be cleared on macOS. The issue happens repeatedly.,,Low,Open,true,Printers
SYN-0063,2026-06-20,Academic,Account says credentials are invalid,Account says credentials are invalid on Windows 11. The issue happens repeatedly.,,High,Open,true,Accounts / Passwords
SYN-0064,2026-05-21,IT,Print queue is stuck and cannot be cleared,Print queue is stuck and cannot be cleared on macOS. I already restarted the device once.,Cleared the print queue and reinstalled the approved printer driver.,Medium,Resolved,true,Printers
SYN-0065,2026-04-24,Academic,Windows driver error after restart,Windows driver error after restart on Windows 11. The issue happens repeatedly.,,Medium,Open,true,Windows / Updates
SYN-0066,2026-03-14,Finance,Outlook keeps asking for password,Outlook keeps asking for password on Windows 11. No recent hardware changes were made.,Re-registered MFA and cleared cached Outlook credentials.,Medium,Resolved,true,Outlook / MFA
SYN-0067,2026-02-07,Finance,Cannot sign in after password reset,Cannot sign in after password reset on Windows 11. Please help because I need this for work.,Unlocked the account and forced a secure password reset.,High,Resolved,true,Accounts / Passwords
SYN-0068,2026-04-17,Academic,Company VPN connects then immediately disconnects,Company VPN connects then immediately disconnects on Ubuntu. Please help because I need this for work.,Updated the VPN client and re-created the connection profile.,Medium,Resolved,true,VPN
SYN-0069,2026-06-17,Finance,Cannot sign in after password reset,Cannot sign in after password reset on Ubuntu. I already restarted the device once.,Unlocked the account and forced a secure password reset.,Low,Resolved,true,Accounts / Passwords
SYN-0070,2026-05-23,Finance,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on Ubuntu. I already restarted the device once.,Enabled the approved RDP rule and verified the device was reachable.,Medium,Resolved,true,Remote Desktop
SYN-0071,2026-06-06,Sales,Windows driver error after restart,Windows driver error after restart on Ubuntu. I already restarted the device once.,,High,Open,true,Windows / Updates
SYN-0072,2026-03-08,Academic,Remote Desktop shows credential error,Remote Desktop shows credential error on macOS. The issue happens repeatedly.,Enabled the approved RDP rule and verified the device was reachable.,Medium,Resolved,true,Remote Desktop
SYN-0073,2026-04-23,Academic,Password expired and user cannot log in,Password expired and user cannot log in on macOS. I already restarted the device once.,Unlocked the account and forced a secure password reset.,Medium,Resolved,true,Accounts / Passwords
SYN-0074,2026-08-17,HR,Blue screen appears after installing an update,Blue screen appears after installing an update on Windows 11. I already restarted the device once.,Installed pending driver updates and repaired Windows update components.,Medium,Resolved,true,Windows / Updates
SYN-0075,2026-01-17,Operations,MFA approval never arrives on phone,MFA approval never arrives on phone on macOS. The issue happens repeatedly.,,Medium,Open,true,Outlook / MFA
SYN-0076,2026-02-22,Operations,Application installation fails with permission error,Application installation fails with permission error on Windows 10. The issue happens repeatedly.,,Medium,Open,true,Software Installation
SYN-0077,2026-04-01,Operations,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on Ubuntu. The issue happens repeatedly.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0078,2026-02-26,Operations,Account says credentials are invalid,Account says credentials are invalid on Ubuntu. This started this morning.,Unlocked the account and forced a secure password reset.,Medium,Resolved,true,Accounts / Passwords
SYN-0079,2026-07-05,Operations,Windows driver error after restart,Windows driver error after restart on Windows 11. The issue happens repeatedly.,Installed pending driver updates and repaired Windows update components.,High,Resolved,true,Windows / Updates
SYN-0080,2026-06-01,Finance,DNS error while connected to office Wi-Fi,DNS error while connected to office Wi-Fi on Ubuntu. I already restarted the device once.,Restarted the network adapter and flushed the DNS cache.,Medium,Resolved,true,Wi-Fi / DNS
SYN-0081,2026-03-08,IT,Outlook keeps asking for password,Outlook keeps asking for password on Windows 11. Please help because I need this for work.,,Medium,Open,true,Outlook / MFA
SYN-0082,2026-03-13,Operations,Laptop suddenly shows blue screen error 0x00000124,Laptop suddenly shows blue screen error 0x00000124 on macOS. This started this morning.,,Medium,Open,true,Windows / Updates
SYN-0083,2026-01-14,HR,Wi-Fi connected but browser says no internet,Wi-Fi connected but browser says no internet on Windows 10. No recent hardware changes were made.,Restarted the network adapter and flushed the DNS cache.,Low,Resolved,true,Wi-Fi / DNS
SYN-0084,2026-02-21,Sales,Wireless icon shows connected but websites do not load,Wireless icon shows connected but websites do not load on Windows 11. I already restarted the device once.,Restarted the network adapter and flushed the DNS cache.,Low,Resolved,true,Wi-Fi / DNS
SYN-0085,2026-05-25,Operations,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on macOS. It happens on my work laptop.,Enabled the approved RDP rule and verified the device was reachable.,Low,Resolved,true,Remote Desktop
SYN-0086,2026-03-21,Sales,Remote access VPN drops after login,Remote access VPN drops after login on Windows 10. It happens on my work laptop.,Updated the VPN client and re-created the connection profile.,High,Resolved,true,VPN
SYN-0087,2026-07-03,Finance,Approved software cannot be installed on laptop,Approved software cannot be installed on laptop on Windows 11. This started this morning.,Used the approved installer with administrator permission.,High,Resolved,true,Software Installation
SYN-0088,2026-07-26,Sales,Printer shows offline although it is powered on,Printer shows offline although it is powered on on Windows 10. It happens on my work laptop.,Cleared the print queue and reinstalled the approved printer driver.,High,Resolved,true,Printers
SYN-0089,2026-01-18,Finance,Installer stops before completion,Installer stops before completion on Ubuntu. Please help because I need this for work.,Used the approved installer with administrator permission.,Low,Resolved,true,Software Installation
SYN-0090,2026-06-12,Academic,Installer stops before completion,Installer stops before completion on Windows 11. Please help because I need this for work.,,Low,Open,true,Software Installation
SYN-0091,2026-07-26,Operations,Printer shows offline although it is powered on,Printer shows offline although it is powered on on Ubuntu. No recent hardware changes were made.,,High,Open,true,Printers
SYN-0092,2026-08-07,Finance,Windows cannot find network printer,Windows cannot find network printer on macOS. Please help because I need this for work.,Cleared the print queue and reinstalled the approved printer driver.,Low,Resolved,true,Printers
SYN-0093,2026-06-06,IT,RDP connection times out from home network,RDP connection times out from home network on Windows 10. Please help because I need this for work.,,Medium,Open,true,Remote Desktop
SYN-0094,2026-02-24,IT,Authenticator code is rejected,Authenticator code is rejected on macOS. It happens on my work laptop.,Re-registered MFA and cleared cached Outlook credentials.,High,Resolved,true,Outlook / MFA
SYN-0095,2026-01-03,Finance,Printer shows offline although it is powered on,Printer shows offline although it is powered on on Windows 11. No recent hardware changes were made.,Cleared the print queue and reinstalled the approved printer driver.,Medium,Resolved,true,Printers
SYN-0096,2026-07-14,Academic,RDP connection times out from home network,RDP connection times out from home network on Ubuntu. No recent hardware changes were made.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0097,2026-07-22,Finance,Remote Desktop shows credential error,Remote Desktop shows credential error on macOS. I already restarted the device once.,Enabled the approved RDP rule and verified the device was reachable.,Medium,Resolved,true,Remote Desktop
SYN-0098,2026-06-19,Operations,Password expired and user cannot log in,Password expired and user cannot log in on macOS. Please help because I need this for work.,Unlocked the account and forced a secure password reset.,High,Resolved,true,Accounts / Passwords
SYN-0099,2026-06-29,IT,Blue screen appears after installing an update,Blue screen appears after installing an update on macOS. It happens on my work laptop.,,Low,Open,true,Windows / Updates
SYN-0100,2026-03-22,Academic,Remote access VPN drops after login,Remote access VPN drops after login on Windows 11. I already restarted the device once.,Updated the VPN client and re-created the connection profile.,Low,Resolved,true,VPN
SYN-0101,2026-07-05,Finance,Remote computer is unavailable through RDP,Remote computer is unavailable through RDP on Windows 11. It happens on my work laptop.,Enabled the approved RDP rule and verified the device was reachable.,Low,Resolved,true,Remote Desktop
SYN-0102,2026-03-19,Academic,Laptop is slow after Windows 11 update,Laptop is slow after Windows 11 update on Windows 11. It happens on my work laptop.,Installed pending driver updates and repaired Windows update components.,Low,Resolved,true,Windows / Updates
SYN-0103,2026-03-16,Academic,Wi-Fi connected but browser says no internet,Wi-Fi connected but browser says no internet on Ubuntu. This started this morning.,Restarted the network adapter and flushed the DNS cache.,Low,Resolved,true,Wi-Fi / DNS
SYN-0104,2026-05-03,IT,Print queue is stuck and cannot be cleared,Print queue is stuck and cannot be cleared on Windows 11. This started this morning.,,Medium,Open,true,Printers
SYN-0105,2026-07-30,Operations,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on Ubuntu. This started this morning.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0106,2026-02-08,Finance,Wireless icon shows connected but websites do not load,Wireless icon shows connected but websites do not load on Windows 11. This started this morning.,Restarted the network adapter and flushed the DNS cache.,High,Resolved,true,Wi-Fi / DNS
SYN-0107,2026-06-02,Sales,Setup wizard reports missing dependency,Setup wizard reports missing dependency on Ubuntu. Please help because I need this for work.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0108,2026-04-20,Sales,Printer shows offline although it is powered on,Printer shows offline although it is powered on on Windows 10. The issue happens repeatedly.,Cleared the print queue and reinstalled the approved printer driver.,High,Resolved,true,Printers
SYN-0109,2026-06-10,IT,Remote access VPN drops after login,Remote access VPN drops after login on Windows 10. I already restarted the device once.,Updated the VPN client and re-created the connection profile.,Low,Resolved,true,VPN
SYN-0110,2026-01-20,Finance,Outlook profile fails to synchronize mail,Outlook profile fails to synchronize mail on Ubuntu. Please help because I need this for work.,Re-registered MFA and cleared cached Outlook credentials.,High,Resolved,true,Outlook / MFA
SYN-0111,2026-01-09,IT,Remote computer is unavailable through RDP,Remote computer is unavailable through RDP on macOS. No recent hardware changes were made.,Enabled the approved RDP rule and verified the device was reachable.,Medium,Resolved,true,Remote Desktop
SYN-0112,2026-08-25,Academic,Remote access VPN drops after login,Remote access VPN drops after login on Windows 11. Please help because I need this for work.,Updated the VPN client and re-created the connection profile.,Low,Resolved,true,VPN
SYN-0113,2026-08-21,HR,Cannot sign in after password reset,Cannot sign in after password reset on Windows 10. This started this morning.,Unlocked the account and forced a secure password reset.,Low,Resolved,true,Accounts / Passwords
SYN-0114,2026-07-11,Operations,Printer shows offline although it is powered on,Printer shows offline although it is powered on on Windows 10. Please help because I need this for work.,Cleared the print queue and reinstalled the approved printer driver.,High,Resolved,true,Printers
SYN-0115,2026-03-11,Operations,Print queue is stuck and cannot be cleared,Print queue is stuck and cannot be cleared on Windows 10. The issue happens repeatedly.,,Low,Open,true,Printers
SYN-0116,2026-06-04,Finance,Installer stops before completion,Installer stops before completion on Windows 10. I already restarted the device once.,Used the approved installer with administrator permission.,High,Resolved,true,Software Installation
SYN-0117,2026-05-28,HR,Internet unavailable although Wi-Fi is connected,Internet unavailable although Wi-Fi is connected on Ubuntu. The issue happens repeatedly.,Restarted the network adapter and flushed the DNS cache.,High,Resolved,true,Wi-Fi / DNS
SYN-0118,2026-02-16,Academic,Remote computer is unavailable through RDP,Remote computer is unavailable through RDP on Ubuntu. This started this morning.,,Medium,Open,true,Remote Desktop
SYN-0119,2026-03-27,Academic,Windows driver error after restart,Windows driver error after restart on Windows 10. I already restarted the device once.,Installed pending driver updates and repaired Windows update components.,Medium,Resolved,true,Windows / Updates
SYN-0120,2026-03-15,Sales,Approved software cannot be installed on laptop,Approved software cannot be installed on laptop on Windows 10. Please help because I need this for work.,,Low,Open,true,Software Installation
SYN-0121,2026-03-24,Operations,Blue screen appears after installing an update,Blue screen appears after installing an update on Windows 10. No recent hardware changes were made.,Installed pending driver updates and repaired Windows update components.,High,Resolved,true,Windows / Updates
SYN-0122,2026-01-14,Sales,Remote Desktop shows credential error,Remote Desktop shows credential error on macOS. The issue happens repeatedly.,Enabled the approved RDP rule and verified the device was reachable.,Medium,Resolved,true,Remote Desktop
SYN-0123,2026-02-22,Sales,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on Windows 11. It happens on my work laptop.,Enabled the approved RDP rule and verified the device was reachable.,Medium,Resolved,true,Remote Desktop
SYN-0124,2026-01-08,Academic,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on Windows 11. It happens on my work laptop.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0125,2026-04-15,HR,Wi-Fi connected but browser says no internet,Wi-Fi connected but browser says no internet on Windows 10. Please help because I need this for work.,Restarted the network adapter and flushed the DNS cache.,Low,Resolved,true,Wi-Fi / DNS
SYN-0126,2026-08-27,Sales,Authenticator code is rejected,Authenticator code is rejected on macOS. Please help because I need this for work.,Re-registered MFA and cleared cached Outlook credentials.,Medium,Resolved,true,Outlook / MFA
SYN-0127,2026-04-27,Operations,RDP session disconnects after login,RDP session disconnects after login on Windows 11. The issue happens repeatedly.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0128,2026-03-12,IT,Outlook keeps asking for password,Outlook keeps asking for password on macOS. This started this morning.,,Medium,Open,true,Outlook / MFA
SYN-0129,2026-05-29,HR,Printer shows offline although it is powered on,Printer shows offline although it is powered on on Ubuntu. The issue happens repeatedly.,,Medium,Open,true,Printers
SYN-0130,2026-05-22,Operations,Blue screen appears after installing an update,Blue screen appears after installing an update on macOS. I already restarted the device once.,,High,Open,true,Windows / Updates
SYN-0131,2026-04-09,Operations,New employee account cannot access portal,New employee account cannot access portal on Windows 10. It happens on my work laptop.,Unlocked the account and forced a secure password reset.,High,Resolved,true,Accounts / Passwords
SYN-0132,2026-04-09,Operations,Remote Desktop shows credential error,Remote Desktop shows credential error on Windows 10. I already restarted the device once.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0133,2026-08-12,Finance,Windows update failed and rolled back,Windows update failed and rolled back on Ubuntu. This started this morning.,,High,Open,true,Windows / Updates
SYN-0134,2026-08-11,Finance,Authenticator code is rejected,Authenticator code is rejected on Ubuntu. It happens on my work laptop.,Re-registered MFA and cleared cached Outlook credentials.,Medium,Resolved,true,Outlook / MFA
SYN-0135,2026-08-07,Academic,Application installation fails with permission error,Application installation fails with permission error on Ubuntu. It happens on my work laptop.,Used the approved installer with administrator permission.,High,Resolved,true,Software Installation
SYN-0136,2026-01-10,HR,RDP connection times out from home network,RDP connection times out from home network on macOS. I already restarted the device once.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0137,2026-01-26,Operations,Company VPN connects then immediately disconnects,Company VPN connects then immediately disconnects on Windows 11. No recent hardware changes were made.,Updated the VPN client and re-created the connection profile.,Medium,Resolved,true,VPN
SYN-0138,2026-03-25,IT,Laptop connected to Wi-Fi but no internet access,Laptop connected to Wi-Fi but no internet access on macOS. It happens on my work laptop.,Restarted the network adapter and flushed the DNS cache.,Medium,Resolved,true,Wi-Fi / DNS
SYN-0139,2026-05-16,Sales,MFA approval never arrives on phone,MFA approval never arrives on phone on Windows 11. I already restarted the device once.,,Low,Open,true,Outlook / MFA
SYN-0140,2026-08-11,Sales,VPN tunnel is unstable from home network,VPN tunnel is unstable from home network on Windows 11. Please help because I need this for work.,,High,Open,true,VPN
SYN-0141,2026-04-29,Operations,MFA approval never arrives on phone,MFA approval never arrives on phone on macOS. No recent hardware changes were made.,Re-registered MFA and cleared cached Outlook credentials.,Low,Resolved,true,Outlook / MFA
SYN-0142,2026-06-23,Finance,Remote computer is unavailable through RDP,Remote computer is unavailable through RDP on Ubuntu. It happens on my work laptop.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0143,2026-06-26,Operations,Print queue is stuck and cannot be cleared,Print queue is stuck and cannot be cleared on macOS. I already restarted the device once.,Cleared the print queue and reinstalled the approved printer driver.,Medium,Resolved,true,Printers
SYN-0144,2026-03-02,Sales,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on macOS. The issue happens repeatedly.,,Medium,Open,true,Remote Desktop
SYN-0145,2026-08-01,IT,Printer is online but jobs stay in queue,Printer is online but jobs stay in queue on Windows 10. The issue happens repeatedly.,,High,Open,true,Printers
SYN-0146,2026-07-10,IT,Wi-Fi connected but browser says no internet,Wi-Fi connected but browser says no internet on Windows 11. The issue happens repeatedly.,,Medium,Open,true,Wi-Fi / DNS
SYN-0147,2026-06-08,Academic,Cannot sign in after password reset,Cannot sign in after password reset on Windows 11. No recent hardware changes were made.,Unlocked the account and forced a secure password reset.,Low,Resolved,true,Accounts / Passwords
SYN-0148,2026-07-21,Finance,Internet unavailable although Wi-Fi is connected,Internet unavailable although Wi-Fi is connected on macOS. No recent hardware changes were made.,,Low,Open,true,Wi-Fi / DNS
