doc_id,title,body,source_type,authoritative,created_at,updated_at,status,supported_os,security_class,category
KB-011,Re-register MFA - Guide 2,"If MFA approvals or codes fail, remove the old authenticator registration and complete the organization's approved MFA registration process again.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Outlook / MFA
KB-012,Password Reset Process - Guide 2,"Use the approved password reset portal, create a compliant password, and sign in again after the reset completes.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Accounts / Passwords
KB-013,Clear Print Queue - Guide 2,"Stop the print spooler, clear stuck print jobs, restart the print spooler, and try printing again.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Printers
KB-014,Update Device Drivers - Guide 2,Install manufacturer-approved device drivers through the approved update channel and restart the computer.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Windows / Updates
KB-015,Approved Software Installation - Guide 2,Download the installer only from the approved internal source and install it with authorized administrator permission.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Software Installation
KB-016,RDP Credential Repair - Guide 2,Remove saved Remote Desktop credentials and reconnect using the current organization account.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Remote Desktop
KB-017,Renew Windows IP Address - Guide 3,"For Wi-Fi connected with no internet, run ipconfig /release followed by ipconfig /renew, then reconnect to the wireless network.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Wi-Fi / DNS
KB-018,Re-create VPN Profile - Guide 3,Remove the damaged VPN connection profile and create a new profile using the approved organization settings.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,VPN
KB-019,Re-register MFA - Guide 3,"If MFA approvals or codes fail, remove the old authenticator registration and complete the organization's approved MFA registration process again.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Outlook / MFA
KB-020,Password Reset Process - Guide 3,"Use the approved password reset portal, create a compliant password, and sign in again after the reset completes.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Accounts / Passwords
KB-021,Clear Print Queue - Guide 3,"Stop the print spooler, clear stuck print jobs, restart the print spooler, and try printing again. This is a near-duplicate article retained for evaluation of duplicate knowledge.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Printers
KB-022,Update Device Drivers - Guide 3,Install manufacturer-approved device drivers through the approved update channel and restart the computer.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Windows / Updates
KB-023,Approved Software Installation - Guide 3,Download the installer only from the approved internal source and install it with authorized administrator permission.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Software Installation
KB-024,RDP Credential Repair - Guide 3,Remove saved Remote Desktop credentials and reconnect using the current organization account.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Remote Desktop
KB-025,DNS Cache Recovery - Guide 4,"If Wi-Fi is connected but internet access is unavailable, open Command Prompt and run ipconfig /flushdns. Reconnect to Wi-Fi and test again.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Wi-Fi / DNS
KB-026,Re-create VPN Profile - Guide 4,Remove the damaged VPN connection profile and create a new profile using the approved organization settings.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,VPN
KB-027,Re-register MFA - Guide 4,"If MFA approvals or codes fail, remove the old authenticator registration and complete the organization's approved MFA registration process again.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Outlook / MFA
KB-028,Password Reset Process - Guide 4,"Use the approved password reset portal, create a compliant password, and sign in again after the reset completes.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Accounts / Passwords
KB-029,Clear Print Queue - Guide 4,"Stop the print spooler, clear stuck print jobs, restart the print spooler, and try printing again.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Printers
KB-030,Update Device Drivers - Guide 4,Install manufacturer-approved device drivers through the approved update channel and restart the computer.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Windows / Updates
KB-031,Approved Software Installation - Guide 4,Download the installer only from the approved internal source and install it with authorized administrator permission.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Software Installation
KB-032,RDP Credential Repair - Guide 4,Remove saved Remote Desktop credentials and reconnect using the current organization account.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Remote Desktop
KB-033,Restart Network Adapter - Guide 5,"Disable and re-enable the Wi-Fi network adapter, then reconnect to the approved wireless network.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Wi-Fi / DNS
KB-034,Re-create VPN Profile - Guide 5,Remove the damaged VPN connection profile and create a new profile using the approved organization settings.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,VPN
KB-035,Re-register MFA - Guide 5,"If MFA approvals or codes fail, remove the old authenticator registration and complete the organization's approved MFA registration process again.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Outlook / MFA
KB-036,Password Reset Process - Guide 5,"Use the approved password reset portal, create a compliant password, and sign in again after the reset completes.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Accounts / Passwords
KB-037,Clear Print Queue - Guide 5,"Stop the print spooler, clear stuck print jobs, restart the print spooler, and try printing again.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Printers
KB-038,Update Device Drivers - Guide 5,Install manufacturer-approved device drivers through the approved update channel and restart the computer.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Windows / Updates
KB-039,Approved Software Installation - Guide 5,Download the installer only from the approved internal source and install it with authorized administrator permission.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Software Installation
KB-040,RDP Credential Repair - Guide 5,Remove saved Remote Desktop credentials and reconnect using the current organization account.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Remote Desktop
KB-041,Renew Windows IP Address - Guide 6,"For Wi-Fi connected with no internet, run ipconfig /release followed by ipconfig /renew, then reconnect to the wireless network.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Wi-Fi / DNS
KB-042,Re-create VPN Profile - Guide 6,Remove the damaged VPN connection profile and create a new profile using the approved organization settings.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,VPN
KB-043,Re-register MFA - Guide 6,"If MFA approvals or codes fail, remove the old authenticator registration and complete the organization's approved MFA registration process again.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Outlook / MFA
KB-044,Password Reset Process - Guide 6,"Use the approved password reset portal, create a compliant password, and sign in again after the reset completes.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Accounts / Passwords
KB-045,Clear Print Queue - Guide 6,"Stop the print spooler, clear stuck print jobs, restart the print spooler, and try printing again.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Printers
KB-046,Update Device Drivers - Guide 6,Install manufacturer-approved device drivers through the approved update channel and restart the computer.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Windows / Updates
KB-047,Approved Software Installation - Guide 6,Download the installer only from the approved internal source and install it with authorized administrator permission.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Software Installation
KB-048,RDP Credential Repair - Guide 6,Remove saved Remote Desktop credentials and reconnect using the current organization account.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Remote Desktop
KB-049,DNS Cache Recovery - Guide 7,"If Wi-Fi is connected but internet access is unavailable, open Command Prompt and run ipconfig /flushdns. Reconnect to Wi-Fi and test again.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Wi-Fi / DNS
KB-050,Re-create VPN Profile - Guide 7,Remove the damaged VPN connection profile and create a new profile using the approved organization settings.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,VPN
KB-051,Re-register MFA - Guide 7,"If MFA approvals or codes fail, remove the old authenticator registration and complete the organization's approved MFA registration process again.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Outlook / MFA
KB-052,Password Reset Process - Guide 7,"Use the approved password reset portal, create a compliant password, and sign in again after the reset completes.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Accounts / Passwords
KB-053,Clear Print Queue - Guide 7,"Stop the print spooler, clear stuck print jobs, restart the print spooler, and try printing again.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Printers
KB-054,Update Device Drivers - Guide 7,Install manufacturer-approved device drivers through the approved update channel and restart the computer.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Windows / Updates
KB-055,Approved Software Installation - Guide 7,Download the installer only from the approved internal source and install it with authorized administrator permission.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Software Installation
KB-056,RDP Credential Repair - Guide 7,Remove saved Remote Desktop credentials and reconnect using the current organization account.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Remote Desktop
KB-057,Restart Network Adapter - Guide 8,"Disable and re-enable the Wi-Fi network adapter, then reconnect to the approved wireless network.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Wi-Fi / DNS
KB-058,Re-create VPN Profile - Guide 8,Remove the damaged VPN connection profile and create a new profile using the approved organization settings.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,VPN
KB-059,Re-register MFA - Guide 8,"If MFA approvals or codes fail, remove the old authenticator registration and complete the organization's approved MFA registration process again.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Outlook / MFA
KB-060,Password Reset Process - Guide 8,"Use the approved password reset portal, create a compliant password, and sign in again after the reset completes.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Accounts / Passwords
KB-061,Clear Print Queue - Guide 8,"Stop the print spooler, clear stuck print jobs, restart the print spooler, and try printing again.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Printers
KB-062,Update Device Drivers - Guide 8,Install manufacturer-approved device drivers through the approved update channel and restart the computer.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Windows / Updates
KB-063,Approved Software Installation - Guide 8,Download the installer only from the approved internal source and install it with authorized administrator permission.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Software Installation
KB-064,RDP Credential Repair - Guide 8,Remove saved Remote Desktop credentials and reconnect using the current organization account.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Remote Desktop
KB-065,Renew Windows IP Address - Guide 9,"For Wi-Fi connected with no internet, run ipconfig /release followed by ipconfig /renew, then reconnect to the wireless network.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Wi-Fi / DNS
KB-066,Re-create VPN Profile - Guide 9,Remove the damaged VPN connection profile and create a new profile using the approved organization settings.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,VPN
KB-067,Re-register MFA - Guide 9,"If MFA approvals or codes fail, remove the old authenticator registration and complete the organization's approved MFA registration process again.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Outlook / MFA
KB-068,Password Reset Process - Guide 9,"Use the approved password reset portal, create a compliant password, and sign in again after the reset completes.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Accounts / Passwords
KB-069,Clear Print Queue - Guide 9,"Stop the print spooler, clear stuck print jobs, restart the print spooler, and try printing again.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Printers
KB-070,Update Device Drivers - Guide 9,Install manufacturer-approved device drivers through the approved update channel and restart the computer.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Windows / Updates
KB-071,Approved Software Installation - Guide 9,Download the installer only from the approved internal source and install it with authorized administrator permission.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Software Installation
KB-072,RDP Credential Repair - Guide 9,Remove saved Remote Desktop credentials and reconnect using the current organization account.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Remote Desktop
KB-073,DNS Cache Recovery - Guide 10,"If Wi-Fi is connected but internet access is unavailable, open Command Prompt and run ipconfig /flushdns. Reconnect to Wi-Fi and test again.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Wi-Fi / DNS
KB-074,Re-create VPN Profile - Guide 10,Remove the damaged VPN connection profile and create a new profile using the approved organization settings.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,VPN
KB-075,Re-register MFA - Guide 10,"If MFA approvals or codes fail, remove the old authenticator registration and complete the organization's approved MFA registration process again.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Outlook / MFA
KB-076,Password Reset Process - Guide 10,"Use the approved password reset portal, create a compliant password, and sign in again after the reset completes.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Accounts / Passwords
KB-077,Clear Print Queue - Guide 10,"Stop the print spooler, clear stuck print jobs, restart the print spooler, and try printing again.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Printers
KB-078,Update Device Drivers - Guide 10,Install manufacturer-approved device drivers through the approved update channel and restart the computer.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Windows / Updates
KB-079,Approved Software Installation - Guide 10,Download the installer only from the approved internal source and install it with authorized administrator permission.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Software Installation
KB-080,RDP Credential Repair - Guide 10,Remove saved Remote Desktop credentials and reconnect using the current organization account.,Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Remote Desktop
